u,v,e_type,ts,u_type,v_type,e_idx
712,1015,4,874730261,1,2,70
712,1014,5,874730261,1,2,71
712,1503,3,874730261,1,2,72
712,1171,3,874730261,1,2,73
712,1153,5,874730293,1,2,74
712,1016,5,874730293,1,2,75
712,1565,4,874730293,1,2,76
712,1084,3,874730320,1,2,77
712,1336,3,874730320,1,2,78
712,1605,5,874730320,1,2,79
712,1527,4,874730342,1,2,80
712,1892,4,874730370,1,2,81
712,1659,5,874730370,1,2,82
712,1675,5,874730370,1,2,83
712,1321,4,874730370,1,2,84
712,1134,3,874730396,1,2,85
712,1026,4,874730396,1,2,86
712,1139,4,874730396,1,2,87
712,1002,2,874730420,1,2,88
712,1079,1,874730443,1,2,89
712,1173,3,874730467,1,2,90
712,1347,3,874730467,1,2,91
712,1598,5,874730467,1,2,92
712,1996,4,874730490,1,2,93
712,1884,5,874730491,1,2,94
712,1511,5,874730491,1,2,95
712,1672,5,874730491,1,2,96
712,1438,4,874730520,1,2,97
712,1449,3,874730520,1,2,98
712,1003,1,874730520,1,2,99
712,1889,4,874730521,1,2,100
712,1429,4,874730521,1,2,101
712,1690,3,874730552,1,2,102
712,1038,4,874730552,1,2,103
712,1374,3,874730552,1,2,104
712,1361,3,874730553,1,2,105
712,981,4,874730553,1,2,106
851,1957,3,874767408,1,2,107
851,1788,3,874767408,1,2,108
851,1054,3,874767408,1,2,109
851,1685,5,874767519,1,2,110
851,1758,3,874767550,1,2,111
851,1348,5,874767550,1,2,112
851,1767,4,874767550,1,2,113
119,1243,5,874774286,1,2,114
119,1229,5,874774286,1,2,115
119,1266,4,874774449,1,2,116
119,1401,5,874774575,1,2,117
119,993,5,874774718,1,2,118
119,1756,4,874774956,1,2,119
119,1220,4,874774993,1,2,120
119,1241,4,874775038,1,2,121
119,1355,4,874775136,1,2,122
119,950,5,874775185,1,2,123
119,1959,5,874775262,1,2,124
119,1068,5,874775262,1,2,125
119,1036,4,874775262,1,2,126
119,1219,2,874775262,1,2,127
119,1064,4,874775311,1,2,128
119,1766,3,874775406,1,2,129
119,1124,4,874775406,1,2,130
119,1230,4,874775465,1,2,131
119,1705,4,874775465,1,2,132
119,1540,4,874775465,1,2,133
119,1867,4,874775535,1,2,134
119,1418,4,874775580,1,2,135
119,1769,4,874775580,1,2,136
119,1200,4,874775614,1,2,137
119,1416,3,874775647,1,2,138
119,1348,4,874775815,1,2,139
119,1770,3,874775815,1,2,140
119,1198,3,874775914,1,2,141
119,1774,2,874775980,1,2,142
119,1977,3,874775980,1,2,143
640,1733,4,874777260,1,2,144
640,954,4,874777440,1,2,145
640,955,5,874777491,1,2,146
640,1439,4,874777491,1,2,147
640,1123,5,874777528,1,2,148
640,999,5,874777528,1,2,149
640,1325,4,874777528,1,2,150
640,1113,5,874777583,1,2,151
640,1417,4,874777623,1,2,152
640,1077,5,874777623,1,2,153
640,1713,4,874777658,1,2,154
640,1007,5,874777701,1,2,155
640,1024,5,874777735,1,2,156
640,1118,5,874777735,1,2,157
640,990,4,874777735,1,2,158
640,998,5,874777765,1,2,159
640,1404,4,874777833,1,2,160
640,1112,5,874777890,1,2,161
640,1125,5,874777925,1,2,162
640,1261,5,874777948,1,2,163
640,1147,5,874777974,1,2,164
640,1034,4,874777998,1,2,165
640,947,4,874778065,1,2,166
640,1013,4,874778065,1,2,167
640,1028,5,874778065,1,2,168
640,1884,5,874778095,1,2,169
640,1523,5,874778096,1,2,170
640,1152,5,874778154,1,2,171
640,1132,5,874778181,1,2,172
640,1636,5,874778207,1,2,173
640,1039,5,874778240,1,2,174
640,1606,5,874778240,1,2,175
640,1144,4,874778240,1,2,176
640,1157,5,874778274,1,2,177
640,996,4,874778274,1,2,178
640,1182,5,874778274,1,2,179
640,1300,5,874778274,1,2,180
640,2016,5,874778299,1,2,181
640,1371,5,874778299,1,2,182
640,1009,4,874778345,1,2,183
640,985,5,874778345,1,2,184
640,1145,5,874778366,1,2,185
640,1174,5,874778424,1,2,186
640,965,4,874778479,1,2,187
640,1176,4,874778479,1,2,188
640,1483,3,874778479,1,2,189
640,1011,4,874778479,1,2,190
640,1104,4,874778479,1,2,191
640,1138,4,874778515,1,2,192
640,1022,5,874778515,1,2,193
640,1035,4,874778515,1,2,194
640,945,4,874778568,1,2,195
640,1627,4,874778568,1,2,196
640,1509,4,874778569,1,2,197
640,1511,4,874778569,1,2,198
640,1169,5,874778569,1,2,199
640,1328,5,874778569,1,2,200
640,1521,3,874778612,1,2,201
640,1005,3,874778612,1,2,202
640,1663,3,874778612,1,2,203
640,981,4,874778612,1,2,204
640,1704,5,874778613,1,2,205
640,976,3,874778696,1,2,206
640,1493,4,874778722,1,2,207
640,1745,3,874778756,1,2,208
640,1334,3,874778756,1,2,209
640,1316,3,874778756,1,2,210
119,1195,3,874780832,1,2,211
119,1768,3,874780860,1,2,212
594,1235,3,874780864,1,2,213
594,1262,3,874780864,1,2,214
594,1188,3,874780909,1,2,215
594,1931,2,874780945,1,2,216
594,1043,4,874781004,1,2,217
594,962,3,874781004,1,2,218
119,2187,3,874781037,1,2,219
594,1458,5,874781050,1,2,220
119,1929,3,874781068,1,2,221
594,1124,3,874781076,1,2,222
594,1070,4,874781076,1,2,223
594,1069,3,874781173,1,2,224
594,957,4,874781173,1,2,225
119,954,5,874781198,1,2,226
119,999,4,874781198,1,2,227
119,1435,5,874781198,1,2,228
594,1164,4,874781207,1,2,229
119,1137,5,874781257,1,2,230
119,1039,5,874781257,1,2,231
119,1111,5,874781351,1,2,232
119,1025,2,874781352,1,2,233
119,1032,4,874781352,1,2,234
119,1153,5,874781407,1,2,235
119,1007,4,874781460,1,2,236
119,2203,5,874781547,1,2,237
119,1598,5,874781628,1,2,238
119,965,4,874781698,1,2,239
119,974,5,874781779,1,2,240
119,1013,3,874781829,1,2,241
119,1067,4,874781994,1,2,242
119,971,5,874782022,1,2,243
119,966,3,874782100,1,2,244
119,1392,5,874782190,1,2,245
119,1115,4,874782191,1,2,246
119,1075,5,874782228,1,2,247
594,993,3,874783018,1,2,248
594,1165,4,874783052,1,2,249
594,958,4,874783052,1,2,250
594,1687,3,874783298,1,2,251
594,1219,3,874783470,1,2,252
594,1180,3,874784095,1,2,253
23,1656,4,874784337,1,2,254
23,1124,4,874784337,1,2,255
23,1193,4,874784338,1,2,256
23,950,4,874784385,1,2,257
23,1862,5,874784440,1,2,258
23,1067,5,874784440,1,2,259
23,957,4,874784440,1,2,260
23,1059,5,874784466,1,2,261
23,962,4,874784466,1,2,262
23,1351,5,874784538,1,2,263
23,1043,5,874784557,1,2,264
23,1226,4,874784575,1,2,265
23,1167,5,874784638,1,2,266
23,1094,3,874784668,1,2,267
23,1178,1,874784712,1,2,268
23,1415,2,874784972,1,2,269
23,1540,3,874785024,1,2,270
23,1904,5,874785165,1,2,271
23,1145,3,874785165,1,2,272
23,999,4,874785233,1,2,273
23,1376,5,874785233,1,2,274
23,1465,4,874785447,1,2,275
23,1546,4,874785448,1,2,276
23,951,4,874785474,1,2,277
23,1218,5,874785474,1,2,278
23,1357,3,874785526,1,2,279
23,1002,4,874785526,1,2,280
23,1118,5,874785526,1,2,281
23,1039,4,874785551,1,2,282
23,1097,3,874785552,1,2,283
23,1032,5,874785582,1,2,284
23,998,4,874785624,1,2,285
23,1177,2,874785624,1,2,286
23,1117,4,874785652,1,2,287
23,1157,3,874785701,1,2,288
23,1422,5,874785728,1,2,289
23,1128,4,874785756,1,2,290
23,1075,4,874785756,1,2,291
23,1114,5,874785809,1,2,292
23,1173,4,874785809,1,2,293
23,1119,3,874785843,1,2,294
23,1585,3,874785843,1,2,295
23,1595,4,874785926,1,2,296
23,1087,3,874785926,1,2,297
23,1045,3,874785957,1,2,298
23,1022,4,874785957,1,2,299
23,1310,4,874785957,1,2,300
23,1137,4,874786016,1,2,301
23,1361,4,874786037,1,2,302
23,1330,3,874786098,1,2,303
23,1077,4,874786098,1,2,304
23,1572,4,874786098,1,2,305
23,1147,3,874786122,1,2,306
23,1038,4,874786220,1,2,307
23,1088,3,874786244,1,2,308
276,1201,5,874786337,1,2,309
276,1243,4,874786338,1,2,310
276,1271,4,874786366,1,2,311
276,1266,3,874786392,1,2,312
276,1268,3,874786419,1,2,313
276,1621,3,874786419,1,2,314
276,1301,3,874786419,1,2,315
23,1096,4,874786438,1,2,316
276,1203,3,874786439,1,2,317
913,947,4,874786460,1,2,318
276,1451,5,874786467,1,2,319
276,1241,5,874786467,1,2,320
276,1862,4,874786467,1,2,321
23,1366,3,874786488,1,2,322
23,1154,4,874786512,1,2,323
276,950,5,874786517,1,2,324
276,1094,5,874786568,1,2,325
276,944,5,874786568,1,2,326
276,1489,3,874786568,1,2,327
276,1227,4,874786605,1,2,328
276,1043,5,874786605,1,2,329
276,1534,3,874786632,1,2,330
276,1639,2,874786632,1,2,331
276,1066,4,874786657,1,2,332
276,1200,4,874786657,1,2,333
594,1300,4,874786664,1,2,334
594,1463,4,874786664,1,2,335
276,1236,4,874786686,1,2,336
276,1052,4,874786686,1,2,337
276,1353,4,874786686,1,2,338
276,968,4,874786686,1,2,339
594,1426,3,874786695,1,2,340
276,1398,4,874786713,1,2,341
276,1959,3,874786713,1,2,342
276,1183,4,874786713,1,2,343
276,1178,4,874786734,1,2,344
23,1146,4,874786746,1,2,345
276,1180,5,874786756,1,2,346
276,1418,5,874786756,1,2,347
276,1953,3,874786784,1,2,348
276,1628,4,874786784,1,2,349
276,1354,4,874786807,1,2,350
276,1766,3,874786807,1,2,351
276,1416,4,874786831,1,2,352
276,1168,3,874786854,1,2,353
276,1401,4,874786854,1,2,354
23,1005,3,874786880,1,2,355
276,1093,4,874786924,1,2,356
276,946,3,874786924,1,2,357
276,1051,3,874786924,1,2,358
276,1091,3,874786924,1,2,359
276,1917,2,874786945,1,2,360
23,1105,3,874786950,1,2,361
23,1138,4,874786993,1,2,362
276,1195,3,874787006,1,2,363
276,1768,3,874787006,1,2,364
23,1016,3,874787016,1,2,365
23,1104,2,874787017,1,2,366
276,1348,3,874787044,1,2,367
276,1971,3,874787044,1,2,368
23,1098,3,874787059,1,2,369
276,1224,3,874787065,1,2,370
276,1936,3,874787065,1,2,371
23,1392,2,874787083,1,2,372
276,2188,3,874787091,1,2,373
276,1415,3,874787109,1,2,374
23,1469,3,874787116,1,2,375
23,1160,2,874787144,1,2,376
276,1065,3,874787150,1,2,377
276,1063,2,874787172,1,2,378
276,964,3,874787195,1,2,379
23,1159,4,874787204,1,2,380
276,1706,3,874787214,1,2,381
23,1394,2,874787256,1,2,382
23,1799,4,874787288,1,2,383
276,2022,2,874787300,1,2,384
23,1598,3,874787330,1,2,385
276,1135,5,874787353,1,2,386
276,1949,3,874787353,1,2,387
276,1118,5,874787376,1,2,388
532,1704,4,874787387,1,2,389
276,970,3,874787407,1,2,390
276,955,5,874787407,1,2,391
276,990,4,874787407,1,2,392
276,1525,3,874787407,1,2,393
276,971,4,874787441,1,2,394
276,1412,4,874787441,1,2,395
276,1103,4,874787441,1,2,396
23,1025,3,874787449,1,2,397
276,1008,4,874787467,1,2,398
276,966,5,874787467,1,2,399
276,1466,4,874787496,1,2,400
276,1404,4,874787526,1,2,401
276,1501,4,874787526,1,2,402
276,1330,3,874787526,1,2,403
276,1140,5,874787549,1,2,404
276,1040,3,874787549,1,2,405
276,1125,5,874787549,1,2,406
23,1116,5,874787587,1,2,407
23,1170,3,874787738,1,2,408
23,1947,3,874788318,1,2,409
23,1723,1,874788388,1,2,410
23,1622,3,874788443,1,2,411
532,1170,4,874788566,1,2,412
532,1086,4,874788755,1,2,413
851,1691,3,874788804,1,2,414
532,2164,5,874788957,1,2,415
23,1329,4,874789001,1,2,416
851,1990,3,874789005,1,2,417
851,1952,2,874789084,1,2,418
851,1867,4,874789109,1,2,419
532,2142,3,874789155,1,2,420
23,1473,4,874789279,1,2,421
532,981,3,874789332,1,2,422
532,1394,4,874789474,1,2,423
532,1738,2,874789538,1,2,424
532,2171,3,874789704,1,2,425
532,1048,3,874789704,1,2,426
532,2150,2,874790439,1,2,427
532,1774,2,874790629,1,2,428
532,1989,4,874790629,1,2,429
276,2084,3,874790773,1,2,430
276,1474,4,874790801,1,2,431
532,1497,4,874790813,1,2,432
276,1715,4,874790826,1,2,433
276,2137,3,874790875,1,2,434
276,1590,4,874790903,1,2,435
532,2280,3,874790930,1,2,436
276,1136,4,874790952,1,2,437
276,982,3,874790995,1,2,438
276,1335,3,874790996,1,2,439
532,2131,4,874790998,1,2,440
276,994,3,874791025,1,2,441
276,1029,3,874791101,1,2,442
276,1368,4,874791101,1,2,443
276,1299,3,874791101,1,2,444
276,2210,4,874791102,1,2,445
276,1122,5,874791102,1,2,446
276,1130,5,874791102,1,2,447
276,1469,4,874791123,1,2,448
276,1158,4,874791145,1,2,449
532,1714,3,874791172,1,2,450
276,1658,3,874791194,1,2,451
276,1601,4,874791194,1,2,452
276,1182,4,874791194,1,2,453
276,1678,4,874791214,1,2,454
276,1325,4,874791236,1,2,455
276,1598,4,874791297,1,2,456
276,1308,3,874791339,1,2,457
276,1318,1,874791339,1,2,458
276,2425,4,874791383,1,2,459
276,1323,3,874791383,1,2,460
276,1345,3,874791407,1,2,461
276,2156,1,874791407,1,2,462
532,2371,4,874791420,1,2,463
276,1663,2,874791464,1,2,464
276,2175,3,874791488,1,2,465
532,2369,3,874791506,1,2,466
276,985,4,874791623,1,2,467
276,1096,4,874791667,1,2,468
276,1310,3,874791667,1,2,469
532,1664,4,874791671,1,2,470
276,1902,4,874791695,1,2,471
532,1872,3,874791786,1,2,472
532,1677,3,874791786,1,2,473
276,1016,3,874791805,1,2,474
276,2061,4,874791830,1,2,475
532,1535,3,874791850,1,2,476
276,1371,4,874791870,1,2,477
276,1145,4,874791871,1,2,478
276,1664,3,874791871,1,2,479
276,2083,2,874791894,1,2,480
276,960,4,874791894,1,2,481
276,1101,3,874791932,1,2,482
276,1376,4,874791960,1,2,483
276,1015,4,874791960,1,2,484
276,1217,3,874791960,1,2,485
276,1031,3,874791960,1,2,486
276,1635,4,874791960,1,2,487
532,1488,2,874791976,1,2,488
532,1307,3,874791976,1,2,489
276,1010,3,874791993,1,2,490
276,1116,5,874791993,1,2,491
276,976,4,874792018,1,2,492
276,1652,4,874792018,1,2,493
532,1354,3,874792031,1,2,494
276,1336,4,874792094,1,2,495
276,1331,2,874792094,1,2,496
276,1339,4,874792118,1,2,497
532,1312,3,874792142,1,2,498
276,1726,1,874792143,1,2,499
821,1237,4,874792194,1,2,500
276,1394,3,874792216,1,2,501
532,1082,5,874792232,1,2,502
276,1023,3,874792237,1,2,503
276,1671,2,874792277,1,2,504
821,2027,5,874792285,1,2,505
821,1043,2,874792285,1,2,506
276,1518,2,874792310,1,2,507
276,1350,2,874792310,1,2,508
276,1117,5,874792366,1,2,509
276,1032,5,874792366,1,2,510
276,998,4,874792366,1,2,511
276,967,4,874792366,1,2,512
821,1218,5,874792369,1,2,513
821,957,4,874792369,1,2,514
276,1087,5,874792401,1,2,515
276,1184,4,874792402,1,2,516
276,1126,5,874792402,1,2,517
276,1025,4,874792402,1,2,518
821,1419,4,874792403,1,2,519
276,1039,5,874792435,1,2,520
276,1115,5,874792435,1,2,521
276,1022,4,874792436,1,2,522
276,1176,3,874792436,1,2,523
276,1071,4,874792436,1,2,524
821,1060,3,874792442,1,2,525
276,1138,5,874792483,1,2,526
276,1104,3,874792483,1,2,527
276,1579,4,874792483,1,2,528
821,1180,5,874792491,1,2,529
821,1706,3,874792491,1,2,530
276,1483,1,874792519,1,2,531
276,1484,3,874792520,1,2,532
276,1622,3,874792520,1,2,533
821,1124,4,874792521,1,2,534
821,1227,3,874792521,1,2,535
276,1127,4,874792547,1,2,536
276,1328,4,874792547,1,2,537
821,1069,5,874792570,1,2,538
821,1936,4,874792570,1,2,539
276,1005,2,874792574,1,2,540
821,1788,5,874792591,1,2,541
276,1340,1,874792601,1,2,542
276,1342,2,874792634,1,2,543
276,1745,3,874792634,1,2,544
821,1091,3,874792650,1,2,545
276,1128,4,874792663,1,2,546
276,1041,5,874792663,1,2,547
276,1143,5,874792663,1,2,548
276,1161,4,874792663,1,2,549
276,1390,4,874792663,1,2,550
276,1162,4,874792692,1,2,551
276,1386,4,874792692,1,2,552
276,1160,4,874792692,1,2,553
821,1402,5,874792698,1,2,554
276,1743,3,874792745,1,2,555
821,1064,3,874792752,1,2,556
821,1414,4,874792752,1,2,557
821,1217,5,874792778,1,2,558
276,1510,3,874792794,1,2,559
821,1416,3,874792813,1,2,560
821,944,5,874792813,1,2,561
821,958,5,874792835,1,2,562
276,1038,5,874792839,1,2,563
821,1068,4,874792860,1,2,564
276,1014,4,874792870,1,2,565
276,1698,3,874792870,1,2,566
276,1086,5,874792870,1,2,567
821,2140,5,874792889,1,2,568
821,1094,4,874792889,1,2,569
276,1570,3,874792907,1,2,570
276,1042,4,874792907,1,2,571
276,1567,2,874792969,1,2,572
276,1894,3,874792969,1,2,573
821,2003,5,874793022,1,2,574
821,1348,4,874793022,1,2,575
821,1540,3,874793022,1,2,576
276,1974,2,874793035,1,2,577
276,1444,4,874793035,1,2,578
821,1054,4,874793049,1,2,579
276,1358,3,874793062,1,2,580
276,1763,3,874793062,1,2,581
276,1369,3,874793092,1,2,582
276,1711,3,874793118,1,2,583
821,1685,4,874793130,1,2,584
821,1049,2,874793196,1,2,585
276,1737,2,874793198,1,2,586
821,1224,3,874793218,1,2,587
821,1061,3,874793218,1,2,588
821,1261,5,874793368,1,2,589
821,965,5,874793418,1,2,590
821,1332,5,874793469,1,2,591
821,971,5,874793469,1,2,592
821,1300,5,874793517,1,2,593
821,1426,5,874793517,1,2,594
821,1022,5,874793517,1,2,595
821,1123,5,874793517,1,2,596
821,1177,5,874793574,1,2,597
821,1452,5,874793574,1,2,598
821,1438,5,874793574,1,2,599
821,1370,5,874793649,1,2,600
821,1648,5,874793649,1,2,601
821,1007,5,874793649,1,2,602
821,1503,3,874793773,1,2,603
821,1378,4,874793773,1,2,604
821,1117,5,874793773,1,2,605
821,1156,5,874793806,1,2,606
821,999,5,874793847,1,2,607
821,1041,5,874793847,1,2,608
821,1650,5,874793848,1,2,609
821,1040,5,874793848,1,2,610
821,1447,4,874793848,1,2,611
532,2183,2,874793852,1,2,612
821,1038,5,874793898,1,2,613
821,1104,4,874793898,1,2,614
821,1075,5,874793898,1,2,615
821,1427,5,874793898,1,2,616
821,1013,4,874793933,1,2,617
821,1014,5,874793969,1,2,618
532,2350,2,874794386,1,2,619
532,1350,2,874794386,1,2,620
276,1364,4,874795500,1,2,621
276,1682,2,874795538,1,2,622
276,1750,2,874795574,1,2,623
276,1546,5,874795613,1,2,624
532,2439,2,874795634,1,2,625
276,1102,3,874795637,1,2,626
276,987,3,874795637,1,2,627
276,974,4,874795704,1,2,628
276,1596,5,874795729,1,2,629
276,1989,3,874795772,1,2,630
276,1714,2,874795795,1,2,631
276,2033,1,874795795,1,2,632
276,1495,3,874795795,1,2,633
276,1985,1,874795823,1,2,634
276,2216,2,874795823,1,2,635
276,1515,3,874795823,1,2,636
276,1497,2,874795823,1,2,637
276,1405,4,874795868,1,2,638
276,1577,4,874795888,1,2,639
532,1355,2,874795951,1,2,640
532,1777,4,874796151,1,2,641
276,1999,4,874796201,1,2,642
276,1197,2,874796373,1,2,643
276,972,3,874796373,1,2,644
532,2445,1,874796400,1,2,645
276,1702,1,874796412,1,2,646
532,1393,2,874796421,1,2,647
291,1231,5,874805453,1,2,648
291,1188,2,874805577,1,2,649
291,1268,4,874805610,1,2,650
291,1072,5,874805699,1,2,651
291,1418,5,874805699,1,2,652
291,1787,5,874805804,1,2,653
291,952,5,874805804,1,2,654
291,1178,2,874805860,1,2,655
291,993,5,874805860,1,2,656
291,1451,5,874805892,1,2,657
291,1955,4,874805892,1,2,658
291,2010,4,874805892,1,2,659
291,1192,4,874805893,1,2,660
291,1685,3,874805927,1,2,661
291,1036,4,874805927,1,2,662
291,1489,3,874805958,1,2,663
291,1064,2,874805984,1,2,664
291,1928,3,874805984,1,2,665
291,1348,4,874805984,1,2,666
291,1066,4,874806006,1,2,667
259,1124,4,874809057,1,2,668
259,1040,4,874809292,1,2,669
851,1927,3,874809850,1,2,670
157,1229,5,874813268,1,2,671
157,1458,5,874813477,1,2,672
157,1178,5,874813703,1,2,673
817,1201,3,874815541,1,2,674
817,1819,4,874815542,1,2,675
817,1243,3,874815542,1,2,676
817,1270,4,874815593,1,2,677
817,1237,4,874815593,1,2,678
817,1231,4,874815593,1,2,679
817,1272,4,874815649,1,2,680
817,1691,4,874815649,1,2,681
817,1271,4,874815679,1,2,682
817,1301,4,874815679,1,2,683
817,1267,2,874815789,1,2,684
817,1188,2,874815789,1,2,685
817,1232,2,874815789,1,2,686
817,1165,4,874815835,1,2,687
817,1064,3,874815835,1,2,688
817,944,4,874815835,1,2,689
817,1871,3,874815835,1,2,690
817,1072,4,874815836,1,2,691
817,958,3,874815836,1,2,692
817,952,3,874815836,1,2,693
817,1067,4,874815885,1,2,694
817,950,4,874815885,1,2,695
817,1216,5,874815885,1,2,696
817,1090,3,874815947,1,2,697
817,967,4,874815947,1,2,698
817,1060,5,874815947,1,2,699
817,1061,3,874815947,1,2,700
817,1867,3,874815947,1,2,701
817,1348,3,874815947,1,2,702
817,1398,3,874815947,1,2,703
817,1489,4,874815947,1,2,704
817,1783,2,874816007,1,2,705
817,1774,1,874816007,1,2,706
817,1540,2,874816007,1,2,707
817,1306,3,874816007,1,2,708
817,1224,4,874816007,1,2,709
195,1696,3,874824313,1,2,710
195,2357,2,874825826,1,2,711
195,2350,2,874825826,1,2,712
195,1329,2,874825826,1,2,713
195,1327,2,874825826,1,2,714
195,2358,1,874825827,1,2,715
756,1243,4,874826502,1,2,716
756,1201,3,874826502,1,2,717
756,1116,3,874826565,1,2,718
756,944,4,874826629,1,2,719
756,2092,5,874827023,1,2,720
756,1114,4,874827062,1,2,721
756,1218,3,874827103,1,2,722
756,1952,4,874827247,1,2,723
756,973,4,874827283,1,2,724
756,1199,4,874827486,1,2,725
893,1201,3,874827508,1,2,726
893,1231,3,874827526,1,2,727
893,1266,2,874827595,1,2,728
756,1310,4,874827614,1,2,729
893,1241,4,874827623,1,2,730
893,944,5,874827725,1,2,731
756,951,4,874827755,1,2,732
756,1178,3,874827755,1,2,733
893,1237,3,874827789,1,2,734
893,1012,5,874827818,1,2,735
756,1078,2,874827884,1,2,736
756,1674,3,874827920,1,2,737
893,1202,3,874827960,1,2,738
756,1035,3,874828027,1,2,739
756,1232,4,874828027,1,2,740
893,1180,4,874828097,1,2,741
893,1955,3,874828163,1,2,742
756,2595,1,874828198,1,2,743
756,1470,3,874828242,1,2,744
756,2217,2,874828278,1,2,745
893,1207,3,874828296,1,2,746
893,1301,2,874828296,1,2,747
893,1203,2,874828296,1,2,748
756,2062,4,874828349,1,2,749
893,1229,4,874828384,1,2,750
756,1014,3,874828391,1,2,751
756,952,2,874828453,1,2,752
893,1724,3,874828569,1,2,753
893,1090,3,874828569,1,2,754
756,993,4,874828592,1,2,755
756,965,3,874828592,1,2,756
756,1039,4,874828640,1,2,757
756,1171,3,874828640,1,2,758
893,967,4,874828649,1,2,759
893,1353,4,874828649,1,2,760
756,1032,4,874828769,1,2,761
893,1788,3,874828772,1,2,762
893,1060,4,874828772,1,2,763
893,1419,3,874828772,1,2,764
893,2188,2,874828812,1,2,765
756,1060,4,874828826,1,2,766
756,1090,4,874828826,1,2,767
756,1346,2,874828826,1,2,768
756,1119,4,874828826,1,2,769
893,1068,3,874828864,1,2,770
893,1183,4,874828864,1,2,771
893,1061,4,874828864,1,2,772
893,1348,5,874828864,1,2,773
893,1414,4,874828897,1,2,774
756,1153,4,874828902,1,2,775
756,1511,3,874828903,1,2,776
756,1061,2,874828967,1,2,777
756,1342,2,874828967,1,2,778
756,1165,2,874828967,1,2,779
756,1138,3,874828967,1,2,780
893,1919,1,874828981,1,2,781
756,1173,3,874829010,1,2,782
893,1178,3,874829035,1,2,783
893,1354,3,874829056,1,2,784
893,1871,3,874829129,1,2,785
756,1064,3,874829152,1,2,786
756,1493,2,874829152,1,2,787
756,1497,1,874829152,1,2,788
893,1763,3,874829161,1,2,789
893,1233,3,874829161,1,2,790
756,946,1,874829174,1,2,791
893,1163,3,874829187,1,2,792
893,1540,4,874829230,1,2,793
893,1065,2,874829249,1,2,794
893,1355,3,874829249,1,2,795
756,1531,4,874829258,1,2,796
756,1375,4,874829258,1,2,797
756,1042,3,874829258,1,2,798
756,1038,3,874829258,1,2,799
893,2158,3,874829287,1,2,800
893,1091,3,874829287,1,2,801
756,1444,3,874829296,1,2,802
756,1416,3,874829296,1,2,803
756,2183,4,874829333,1,2,804
756,1361,3,874829333,1,2,805
893,1762,3,874829355,1,2,806
756,1363,4,874829373,1,2,807
893,1094,4,874829427,1,2,808
756,1140,2,874829446,1,2,809
756,1040,3,874829484,1,2,810
756,1217,3,874829637,1,2,811
756,1364,4,874829637,1,2,812
756,1098,4,874829637,1,2,813
756,1054,4,874829670,1,2,814
756,1009,4,874829705,1,2,815
893,1020,4,874829706,1,2,816
893,1369,4,874829733,1,2,817
893,999,5,874829733,1,2,818
756,1682,4,874829743,1,2,819
756,1031,1,874829743,1,2,820
893,954,4,874829753,1,2,821
893,1115,5,874829883,1,2,822
893,993,5,874829883,1,2,823
756,1102,4,874829924,1,2,824
756,1177,3,874829924,1,2,825
